 id ring tmt  diam  c98 c99 c00 
361  4 CO2 17.8   0   3   4
362  4 CO2 18.0   0   0   8
363  4 CO2 10.1   0   0   0
364  4 CO2 18.8   0   0   0
365  4 CO2 16.4   0   2   3
366  4 CO2 21.2   0   3   9
367  4 CO2 16.6   0   0   0
368  4 CO2 16.7   0   0   0
369  4 CO2 17.8   0   4  14
370  4 CO2 16.5   0   5   0
371  4 CO2 19.3   0   9   0
372  4 CO2 16.3   0   2  14
373  4 CO2 14.2   0   0   2
374  4 CO2 13.0   0   0   0
375  4 CO2  9.4   0   0   0
376  4 CO2 19.7   0   1   2
377  4 CO2 13.4   0   0   0
378  4 CO2  2.6   0   0   0
379  4 CO2 17.6   0   0   0
380  4 CO2 16.7   0   0   0
381  4 CO2 17.6   0   6  14
382  4 CO2  5.8   0   0   0
383  4 CO2 17.6   0   7   7
384  4 CO2 20.1   0  38  35
385  4 CO2 18.2   0   5   0
386  4 CO2 16.7   0   0   0
387  4 CO2 14.0   0   0   0
388  4 CO2 13.9   0   0   4
389  4 CO2  5.1   0   0   0
390  4 CO2 16.6   0   0   2
391  4 CO2  3.9   0   0   0
392  4 CO2 17.5   0  12  10
393  4 CO2 18.0   0   0   0
394  5 AMB 19.5   0   0   0
395  5 AMB 12.8   0   0   0
396  5 AMB 18.2   0   0   0
397  5 AMB  6.0   0   0   0
398  5 AMB 21.7   0   0   0
399  5 AMB 17.0   0   1   0
400  5 AMB 20.7   0   0   3
401  5 AMB 19.4   0   1   3
402  5 AMB 18.1   0   0   7
403  5 AMB 16.1   0   0   0
404  5 AMB 24.4   0   3   2
405  5 AMB  4.4   0   0   0
406  5 AMB 15.5   0   0   0
407  5 AMB 25.1   0   0   2
408  5 AMB 21.8   0   0   0
409  5 AMB 22.6   0   0   0
410  5 AMB 23.3   1  15  31
411  5 AMB 15.3   0   0   0
412  5 AMB 15.8   0   0   0
413  5 AMB 11.3   0   0   0
414  5 AMB  7.9   0   0   0
415  5 AMB 23.2   0   0   0
416  5 AMB 18.9   0   0   0
417  5 AMB  9.8   0   0   0
418  5 AMB 19.0   0   0   8
419  5 AMB 22.3   0   0   0
420  5 AMB 22.7   0   0   0
421  5 AMB 11.8   0   0   0
422  5 AMB 24.2   0   0   2
423  5 AMB 16.7   0   0   0
424  5 AMB 12.5   0   0   0
425  5 AMB 14.7   0   0   0
426  5 AMB 15.9   0   0   0
427  5 AMB 20.2   0   0   2
428  5 AMB 25.3   0   0   0
429  5 AMB 16.9   0   0   0
430  5 AMB 20.7   0   0   0
431  5 AMB 14.5   0   0   0
432  5 AMB 20.2   0   0   0
433  5 AMB 21.9   0   0   0
434  5 AMB 19.2   0   0   0
435  5 AMB 17.8   0   1   6
436  5 AMB 23.9   0   0   0
437  5 AMB 18.3   0   0   0
438  5 AMB 11.8   0   0   0
439  5 AMB 22.9   0   0   4
440  5 AMB 21.9   0   0   0
441  5 AMB 24.2   1   0   0
442  5 AMB 19.7   0   0   3
443  5 AMB 13.3   0   0   0
444  5 AMB 18.1   0   0   0
445  5 AMB 20.8   0   6   0
446  5 AMB 14.1   0   0   0
447  5 AMB 15.3   0   0   0
448  5 AMB 17.9   0   0   0
449  5 AMB  9.3   0   0   0
450  5 AMB 17.5   0   0   0
451  5 AMB 19.4   0   0   0
452  5 AMB 18.2   0   0   0
453  5 AMB 18.8   0   0   0
454  5 AMB 11.3   0   0   0
455  5 AMB 19.0   0   0   0
456  5 AMB 19.9   0   0   0
457  5 AMB  5.6   0   0   0
458  5 AMB 13.4   0   0   6
459  5 AMB 13.2   0   0   0
460  5 AMB 14.1   0   0   0
461  5 AMB  6.1   0   0   1
462  5 AMB 12.2   0   0   0
463  5 AMB 16.0   0   0   0
464  5 AMB 17.1   0   0   0
465  5 AMB 16.0   0   0   0
466  5 AMB 21.8   0   0   3
467  5 AMB 14.6   0   0   0
468  5 AMB 19.5   0   1   0
469  5 AMB 20.2   0   0   0
470  5 AMB 24.5   0   3  10
471  5 AMB 18.7   0   0   0
472  5 AMB 18.2   0   0   0
473  5 AMB 24.1   0  25  36
474  5 AMB 22.2   0   0   8
475  5 AMB 11.9   0   0   0
476  5 AMB 18.2   0   0   0
477  5 AMB 25.8   0   3   8
478  5 AMB 21.5   0   0   4
479  5 AMB 10.6   0   0   0
480  5 AMB 23.1   0   0   0
481  5 AMB 20.7   0   2   1
482  5 AMB 17.0   0   0   0
483  5 AMB 17.5   0   0   0
484  5 AMB 12.7   0   0   0
485  5 AMB  9.4   0   0   2
486  5 AMB  8.9   0   0   0
487  5 AMB 20.6   0   0   0
488  5 AMB 18.3   0   0   0
489  5 AMB 24.4   0   0   0
490  5 AMB 19.7   0   0   0
491  5 AMB 12.0   0   0   0
492  5 AMB 21.3   0   0   0
493  5 AMB 21.2   0   0   0
494  5 AMB 15.1   0   0   0
495  5 AMB 17.8   0   0   0
496  5 AMB 23.7   0   0   3
497  5 AMB 17.00   0   0   0
498  6 AMB 16.60   0   2   3
499  6 AMB 18.30   0   0   0
500  6 AMB 14.40   0   0   0
501  6 AMB  7.10   0   0   0
502  6 AMB 19.10   0   6   0
503  6 AMB  9.50   0   0   0
504  6 AMB 10.40   0   0   0
505  6 AMB 15.40   0   0   0
506  6 AMB 11.50   0   3   0
507  6 AMB 12.00   0   0   2
508  6 AMB 17.50   0   0   0
509  6 AMB 18.10   0   0   0
510  6 AMB 15.00   0   0   0
511  6 AMB 16.20   0   2   5
512  6 AMB 18.30   0   0   0
513  6 AMB 12.90   0   0   0
514  6 AMB 19.70   0   0   0
515  6 AMB 14.80   0   1   0
516  6 AMB 19.90   0   0   0
517  6 AMB 20.80   0   0   0
518  6 AMB  9.40   0   0   0
519  6 AMB 15.40   0   0   0
520  6 AMB 18.00   0   2   0
521  6 AMB  6.60   0   0   0
522  6 AMB 13.20   0   0   0
523  6 AMB 14.00   0   0   0
524  6 AMB 14.40   0   0   0
525  6 AMB 18.40   0   0   0
526  6 AMB 12.30   0   1   0
527  6 AMB 19.30   0   0   0
528  6 AMB 14.60   0   0   1
529  6 AMB 15.80   0   6   0
530  6 AMB 17.00   0   0   0
531  6 AMB 13.10   0   0   0
532  6 AMB 14.00   1   5   3
533  6 AMB 16.60   0   0   0
534  6 AMB 17.60   0   0   0
535  6 AMB 13.90   0   0   0
536  6 AMB 14.30   0   0   0
537  6 AMB 14.30   0   1   0
538  6 AMB 14.80   0   0   0
539  6 AMB  7.00   0   3   3
540  6 AMB 13.30   0   0   0
541  6 AMB 18.10   0   0   0
542  6 AMB 19.80   0   8   0
543  6 AMB  7.00   0   0   0
544  6 AMB 14.70   0   0   0
545  6 AMB  7.70   0   0   0
546  6 AMB 21.90   0   0   2
547  6 AMB 15.50   0   0   0
548  6 AMB 18.60   0   0   0
549  6 AMB 18.70   0   0   0
550  6 AMB 18.70   0   4   5
551  6 AMB  6.60   0   0   0
552  6 AMB 17.20   0  12   2
553  6 AMB 15.60   0   0   0
554  6 AMB 12.70   0   0   2
555  6 AMB  8.70   0   0   0
556  6 AMB 19.80   0   0   0
557  6 AMB 19.10   0   0   0
558  6 AMB 15.90   0   0   0
559  6 AMB 18.10   0   0   0
560  6 AMB 11.70   0   0   0
561  6 AMB 10.50   0   0   0
562  6 AMB 10.70   0   0   0
563  6 AMB 11.00   0   0   0
564  6 AMB  9.50   0   0   0
565  6 AMB 10.30   0   0   0
566  6 AMB 16.70   0   0   0
567  6 AMB  8.40   0   0   0
568  6 AMB 12.60   0   0   0
569  6 AMB  9.70   0   0   0
570  6 AMB 17.70   0   0   0
571  6 AMB 20.80   0   0   3
572  6 AMB 15.90   0   0   3
573  6 AMB 18.50   0   2   3
574  6 AMB 11.00   0   2   0
575  6 AMB 19.30   8  16  19
576  6 AMB  9.90   0   0   0
577  6 AMB 16.00   0   0  12
578  6 AMB 22.10   1  22  18
579  6 AMB 14.70   0   0   0
580  6 AMB 25.70   1  44  91
581  6 AMB  7.00   0   0   0
582  6 AMB 21.90   0   0   0
583  6 AMB 13.50   0   0   0
584  6 AMB 10.20   0   0   0
585  6 AMB 22.20   0   0   0
586  6 AMB  4.10   0   0   0
587  6 AMB  7.30   0   0   0
588  6 AMB 21.00   0   3   0
589  6 AMB 18.80   0   0   0
590  6 AMB 19.90   0   0   0
591  6 AMB 12.10   0   0   0
592  6 AMB 15.50   0   0   0
593  6 AMB 19.30   0   3   3
594  6 AMB  7.80   0   0   0
595  6 AMB 18.00   0  14   7
596  6 AMB 18.50   0   0   0
597  6 AMB 17.90   0   0   1
598  6 AMB  7.50   0   0   0
599  6 AMB 20.60   4   1   8
600  6 AMB  8.30   0   0   0
601  6 AMB 16.00   0   0   0
602  6 AMB 11.20   0   0   0
603  6 AMB 11.70   0   0   0
604  6 AMB  7.30   0   0   0
605  6 AMB  8.00   0   0   0
606  6 AMB 11.00   0   0   0
